,"22524000100090200001 Число организаций, осуществляющих образовательную деятельность по дополнительным общеобразовательным программам для детей","22524000100090200001 Число организаций, осуществляющих образовательную деятельность по дополнительным общеобразовательным программам для детей"
,"2015 г.","2018 г."
"Российская Федерация","15080,99","58296"
"Центральный федеральный округ","2968,99","13816,99"
"Белгородская область","193","885"
"Брянская область","163","727"
"Владимирская область","127","554"
"Воронежская область","210","1130"
"Ивановская область","102","449"
"Калужская область","113","384"
"Костромская область","109","348"
"Курская область","118","607"
"Липецкая область","122","432"
"Московская область","460","3235"
"Орловская область","136","483"
"Рязанская область","191","483"
"Смоленская область","136","671"
"Тамбовская область","98","670"
"Тверская область","165","702"
"Тульская область","96","693"
"Ярославская область","190","421"
"Город Москва столица Российской Федерации город федерального значения","240","943"
"Северо-Западный федеральный округ","1200","5062,99"
"Республика Карелия","71","278"
"Республика Коми","141","419"
"Архангельская область","93","479"
"Ненецкий автономный округ (Архангельская область)","10","32"
"Архангельская область (без АО)","83",
"Архангельская область (кроме Ненецкого автономного округа)",,"447"
"Вологодская область","112","713"
"Калининградская область","119","455"
"Ленинградская область","196","520"
"Мурманская область","131","323"
"Новгородская область","65","369"
"Псковская область","83","266"
"Город Санкт-Петербург город федерального значения","189","1241"
"Южный федеральный округ (с 2010 года)","1303",
"Южный федеральный округ (с 29.07.2016)",,"6252"
"Республика Адыгея (Адыгея)","59","44"
"Республика Калмыкия","38","108"
"Республика Крым","164","830"
"Краснодарский край","419","2199"
"Астраханская область","75","315"
"Волгоградская область","208","1066"
"Ростовская область","504","1644"
"Город федерального значения Севастополь","20","46"
"Северо-Кавказский федеральный округ","861","4223"
"Республика Дагестан","244","1599"
"Республика Ингушетия*","15","136"
"Кабардино-Балкарская Республика","58","248"
"Карачаево-Черкесская Республика","73","222"
"Республика Северная Осетия-Алания","94","137"
"Чеченская Республика*","157","533"
"Ставропольский край","220","1348"
"Приволжский федеральный округ","3757,99","12627,99"
"Республика Башкортостан","968","1441"
"Республика Марий Эл","113","480"
"Республика Мордовия","115","166"
"Республика Татарстан (Татарстан)","371","2063"
"Удмуртская Республика","175","941"
"Чувашская Республика - Чувашия","133","402"
"Пермский край","295","1249"
"Кировская область","217","569"
"Нижегородская область","388","1640"
"Оренбургская область","199","894"
"Пензенская область","116","490"
"Самарская область","251","772"
"Саратовская область","270","1058"
"Ульяновская область","147","463"
"Уральский федеральный округ","1574","5259"
"Курганская область","119","456"
"Свердловская область","488,99","1813"
"Тюменская область","573","1539"
"Ханты-Мансийский автономный округ - Югра (Тюменская область)","270","675"
"Ямало-Ненецкий автономный округ (Тюменская область)","100","366"
"Тюменская область (без АО)","203",
"Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)",,"498"
"Челябинская область","393","1451"
"Сибирский федеральный округ","2289",
"Сибирский федеральный округ",,"6693"
"Республика Алтай","46","228"
"Республика Бурятия","161","437"
"Республика Тыва","70","338"
"Республика Хакасия","87","320"
"Алтайский край","316","873"
"Забайкальский край","178","557"
"Красноярский край","291","1207"
"Иркутская область","268","1025"
"Кемеровская область - Кузбасс","235","862"
"Новосибирская область","306","645"
"Омская область","202","651"
"Томская область","129","544"
"Дальневосточный федеральный округ","943",
"Дальневосточный федеральный округ",,"4361"
"Республика Саха (Якутия)","234","932"
"Камчатский край","91","175"
"Приморский край","187","817"
"Хабаровский край","146","608"
"Амурская область","127","331"
"Магаданская область","39","81"
"Сахалинская область","89","290"
"Еврейская автономная область","22","89"
"Чукотский автономный округ","8","44"
"Крымский федеральный округ","184",
